"order_id","primary_product_id","cross_sell_product_id"
"7300","1","2"
"7302","1","2"
"7310","1","2"
"7352","2","1"
"7376","1","2"
"7377","1","2"
"7434","1","2"
"7474","1","2"
"7490","1","2"
"7507","1","2"
"7515","1","2"
"7526","1","2"
"7539","1","2"
"7550","1","2"
"7560","1","2"
"7573","1","2"
"7582","1","2"
"7589","1","2"
"7591","1","2"
"7596","1","2"
"7677","1","2"
"7693","1","2"
"7711","1","2"
"7735","1","2"
"7775","1","2"
"7817","1","2"
"7863","1","2"
"7867","1","2"
"7875","1","2"
"7953","1","2"
"8054","1","2"
"8065","1","2"
"8090","1","2"
"8094","1","2"
"8109","1","2"
"8110","1","2"
"8164","1","2"
"8175","1","2"
"8234","1","2"
"8250","1","2"
"8348","1","2"
"8359","1","2"
"8380","1","2"
"8386","1","2"
"8418","1","2"
"8432","1","2"
"8444","1","2"
"8448","1","2"
"8468","1","2"
"8502","2","1"
"8522","1","2"
"8598","1","2"
"8603","1","2"
"8626","1","2"
"8639","1","2"
"8647","1","2"
"8648","1","2"
"8649","1","2"
"8675","1","2"
"8702","1","2"
"8708","2","1"
"8740","1","2"
"8753","1","2"
"8754","1","2"
"8759","1","2"
"8765","1","2"
"8773","1","2"
"8824","1","2"
"8867","1","2"
"8884","1","2"
"8892","1","2"
"8903","1","2"
"8978","1","2"
"9006","2","1"
"9007","1","2"
"9008","1","2"
"9020","1","2"
"9044","1","2"
"9152","1","2"
"9163","1","2"
"9270","1","2"
"9301","1","2"
"9324","1","2"
"9330","1","2"
"9335","2","1"
"9346","1","2"
"9347","2","1"
"9364","1","2"
"9382","1","2"
"9406","1","3"
"9415","3","1"
"9427","1","2"
"9446","1","3"
"9448","1","3"
"9464","1","3"
"9469","1","3"
"9475","1","3"
"9489","1","2"
"9503","1","2"
"9512","1","3"
"9520","1","3"
"9527","1","2"
"9539","3","1"
"9540","1","3"
"9548","1","3"
"9561","1","3"
"9563","1","3"
"9564","1","3"
"9565","1","3"
"9570","3","1"
"9571","1","3"
"9590","3","1"
"9602","1","3"
"9621","3","1"
"9626","1","2"
"9628","2","3"
"9644","1","2"
"9645","1","2"
"9668","1","3"
"9680","1","2"
"9682","1","3"
"9701","3","1"
"9706","1","3"
"9718","1","3"
"9726","1","2"
"9727","1","3"
"9740","1","3"
"9759","3","1"
"9765","1","3"
"9801","1","3"
